event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-16T09:02:20.026+07:00,ETHUSDT,38.27,1.512,2532.979436,2531.61,2569.88,0.0253,2569.87,20.5629,2569.88,17.9369,2531.61,2569.9,2492,333000.4099,8.43E+08,2025-06-15T09:02:20.004+07:00,2025-06-16T09:02:20.004+07:00,2533189643,2535212586,2022944
24hrTicker,2025-06-16T09:02:21.026+07:00,ETHUSDT,38.27,1.512,2532.980447,2531.61,2569.88,9.122,2569.87,49.2297,2569.88,36.679,2531.61,2569.9,2492,333009.5167,8.44E+08,2025-06-15T09:02:21.013+07:00,2025-06-16T09:02:21.013+07:00,2533189644,2535212618,2022975
24hrTicker,2025-06-16T09:02:22.025+07:00,ETHUSDT,38.5,1.521,2532.998473,2531.61,2570.1,0.2575,2570.1,2.1652,2570.11,76.6579,2531.6,2570.79,2492,333171.0092,8.44E+08,2025-06-15T09:02:22.014+07:00,2025-06-16T09:02:22.014+07:00,2533189647,2535213359,2023713
24hrTicker,2025-06-16T09:02:23.026+07:00,ETHUSDT,37.65,1.487,2533.000486,2531.6,2569.26,0.0301,2569.25,2.0607,2569.26,80.7791,2531.61,2570.79,2492,333187.8025,8.44E+08,2025-06-15T09:02:23.014+07:00,2025-06-16T09:02:23.014+07:00,2533189650,2535213594,2023945
24hrTicker,2025-06-16T09:02:24.020+07:00,ETHUSDT,38.37,1.516,2533.006759,2531.6,2569.98,0.0101,2569.98,0.0101,2569.99,50.5028,2531.61,2570.79,2492,333244.7884,8.44E+08,2025-06-15T09:02:24.014+07:00,2025-06-16T09:02:24.014+07:00,2533189650,2535213931,2024282
24hrTicker,2025-06-16T09:02:25.025+07:00,ETHUSDT,38.12,1.506,2533.007819,2531.61,2569.73,0.3778,2569.72,1.6531,2569.73,66.7423,2531.61,2570.79,2492,333254.2379,8.44E+08,2025-06-15T09:02:25.013+07:00,2025-06-16T09:02:25.013+07:00,2533189651,2535213985,2024335
24hrTicker,2025-06-16T09:02:26.025+07:00,ETHUSDT,38.11,1.505,2533.007962,2531.61,2569.72,1.2738,2569.72,18.535,2569.73,50.7103,2531.61,2570.79,2492,333255.5316,8.44E+08,2025-06-15T09:02:26.014+07:00,2025-06-16T09:02:26.014+07:00,2533189652,2535213988,2024337
24hrTicker,2025-06-16T09:02:27.019+07:00,ETHUSDT,37.65,1.487,2533.009271,2531.61,2569.26,3.8921,2569.25,24.0385,2569.26,13.1754,2531.61,2570.79,2492,333267.5064,8.44E+08,2025-06-15T09:02:27.013+07:00,2025-06-16T09:02:27.013+07:00,2533189652,2535214119,2024468
24hrTicker,2025-06-16T09:02:28.025+07:00,ETHUSDT,37.39,1.477,2533.009471,2531.61,2569,0.6966,2569,0.0151,2569.01,55.0681,2531.61,2570.79,2492,333269.3302,8.44E+08,2025-06-15T09:02:28.010+07:00,2025-06-16T09:02:28.010+07:00,2533189654,2535214209,2024556
24hrTicker,2025-06-16T09:02:29.019+07:00,ETHUSDT,37.38,1.477,2533.009622,2531.61,2568.99,0.0584,2568.99,0.3517,2569,79.4393,2531.61,2570.79,2492,333270.7301,8.44E+08,2025-06-15T09:02:29.014+07:00,2025-06-16T09:02:29.014+07:00,2533189654,2535214250,2024597
24hrTicker,2025-06-16T09:02:30.025+07:00,ETHUSDT,36.97,1.46,2533.010093,2531.69,2568.66,0.3616,2568.66,19.3494,2568.67,88.8581,2531.69,2570.79,2492,333274.1853,8.44E+08,2025-06-15T09:02:30.013+07:00,2025-06-16T09:02:30.013+07:00,2533189663,2535214360,2024698
24hrTicker,2025-06-16T09:02:31.026+07:00,ETHUSDT,36.92,1.458,2533.010739,2531.6,2568.52,0.0223,2568.5,16.5306,2568.51,96.0867,2531.6,2570.79,2492,333278.7688,8.44E+08,2025-06-15T09:02:31.014+07:00,2025-06-16T09:02:31.014+07:00,2533189705,2535214422,2024718
24hrTicker,2025-06-16T09:02:32.026+07:00,ETHUSDT,37.5,1.482,2533.010901,2531,2568.5,0.4625,2568.5,24.2717,2568.51,75.457,2531,2570.79,2492,333267.5211,8.44E+08,2025-06-15T09:02:32.014+07:00,2025-06-16T09:02:32.014+07:00,2533189910,2535214426,2024517
24hrTicker,2025-06-16T09:02:33.025+07:00,ETHUSDT,38.21,1.51,2533.015344,2531,2569.21,0.046,2569.2,108.0159,2569.21,0.6332,2531,2570.79,2492,333308.8179,8.44E+08,2025-06-15T09:02:33.005+07:00,2025-06-16T09:02:33.005+07:00,2533189913,2535214564,2024652
24hrTicker,2025-06-16T09:02:34.025+07:00,ETHUSDT,38.66,1.527,2533.016759,2531,2569.66,1.5446,2569.65,66.21,2569.66,17.9221,2531,2570.79,2492,333321.5732,8.44E+08,2025-06-15T09:02:34.014+07:00,2025-06-16T09:02:34.014+07:00,2533189914,2535214729,2024816
24hrTicker,2025-06-16T09:02:35.019+07:00,ETHUSDT,38.5,1.521,2533.016923,2531,2569.5,0.1424,2569.5,19.767,2569.51,53.1243,2531,2570.79,2492,333323.0641,8.44E+08,2025-06-15T09:02:34.995+07:00,2025-06-16T09:02:34.995+07:00,2533189914,2535214763,2024850
24hrTicker,2025-06-16T09:02:36.019+07:00,ETHUSDT,38.5,1.521,2533.020265,2531,2569.5,0.2615,2569.5,21.6096,2569.51,32.1707,2531,2570.79,2492,333353.5937,8.44E+08,2025-06-15T09:02:36.002+07:00,2025-06-16T09:02:36.002+07:00,2533189914,2535214780,2024867
