event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:47:01.033+07:00,ETHUSDT,186.95,7.509,2625.65418689,2489.82,2676.78,1.1251,2676.77,44.1999,2676.78,83.3607,2489.83,2726.78,2489.82,776954.1025,2.040012792254029E9,2025-06-09T15:47:00.973+07:00,2025-06-10T15:47:00.973+07:00,2508387782,2512045540,3657759
24hrTicker,2025-06-10T15:47:02.033+07:00,ETHUSDT,186.94,7.508,2625.65420238,2489.83,2676.77,0.1617,2676.77,50.2726,2676.78,71.2215,2489.83,2726.78,2489.82,776954.2977,2.040013316816318E9,2025-06-09T15:47:02.006+07:00,2025-06-10T15:47:02.006+07:00,2508387783,2512045542,3657760
24hrTicker,2025-06-10T15:47:03.034+07:00,ETHUSDT,186.95,7.509,2625.65430642,2489.83,2676.78,1.53,2676.77,122.7669,2676.78,7.4089,2489.83,2726.78,2489.82,776955.8085,2.040017364484982E9,2025-06-09T15:47:03.013+07:00,2025-06-10T15:47:03.013+07:00,2508387786,2512045546,3657761
24hrTicker,2025-06-10T15:47:04.033+07:00,ETHUSDT,187.43,7.527,2625.65569223,2490.01,2677.43,0.0687,2677.42,100.0085,2677.43,15.7749,2490.0,2726.78,2489.82,776963.0714,2.040037511071818E9,2025-06-09T15:47:04.012+07:00,2025-06-10T15:47:04.012+07:00,2508387906,2512045776,3657871
24hrTicker,2025-06-10T15:47:05.023+07:00,ETHUSDT,187.43,7.527,2625.65593772,2490.01,2677.43,0.9937,2677.43,104.7046,2677.44,34.1767,2490.0,2726.78,2489.82,776966.7556,2.04004737525426E9,2025-06-09T15:47:05.014+07:00,2025-06-10T15:47:05.014+07:00,2508387906,2512045792,3657887
24hrTicker,2025-06-10T15:47:06.033+07:00,ETHUSDT,187.43,7.527,2625.65595405,2490.0,2677.44,0.0079,2677.43,97.3744,2677.44,37.0576,2490.01,2726.78,2489.82,776966.673,2.040047171061036E9,2025-06-09T15:47:05.998+07:00,2025-06-10T15:47:05.998+07:00,2508387907,2512045793,3657887
24hrTicker,2025-06-10T15:47:07.033+07:00,ETHUSDT,187.44,7.528,2625.65599536,2490.01,2677.44,0.51,2677.43,109.3211,2677.44,48.2182,2490.0,2726.78,2489.82,776967.1477,2.040048449557699E9,2025-06-09T15:47:07.005+07:00,2025-06-10T15:47:07.005+07:00,2508387908,2512045796,3657889
24hrTicker,2025-06-10T15:47:08.033+07:00,ETHUSDT,187.41,7.526,2625.66282956,2490.01,2677.43,0.0118,2677.43,86.43,2677.44,57.3533,2490.02,2726.78,2489.91,776928.0505,2.039951103442031E9,2025-06-09T15:47:07.969+07:00,2025-06-10T15:47:07.969+07:00,2508388012,2512045798,3657787
24hrTicker,2025-06-10T15:47:09.033+07:00,ETHUSDT,187.4,7.526,2625.66299866,2490.03,2677.44,0.0075,2677.43,93.0507,2677.44,61.4328,2490.04,2726.78,2489.91,776929.2824,2.039954469374839E9,2025-06-09T15:47:09.001+07:00,2025-06-10T15:47:09.001+07:00,2508388042,2512045812,3657771
24hrTicker,2025-06-10T15:47:10.033+07:00,ETHUSDT,187.39,7.526,2625.66300908,2490.03,2677.43,0.0414,2677.43,92.9975,2677.44,58.2146,2490.04,2726.78,2489.91,776929.2799,2.039954470907823E9,2025-06-09T15:47:10.004+07:00,2025-06-10T15:47:10.004+07:00,2508388046,2512045814,3657769
