event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:38:17.294+07:00,FDUSDUSDT,2.00E-04,0.02,0.99852101,0.9981,0.9983,6,0.9983,1.44E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:16.742+07:00,2025-06-10T15:38:16.742+07:00,292291592,292496173,204582
24hrTicker,2025-06-10T15:38:18.294+07:00,FDUSDUSDT,2.00E-04,0.02,0.99852104,0.9981,0.9983,57,0.9983,1.44E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:17.725+07:00,2025-06-10T15:38:17.725+07:00,292291593,292496174,204582
24hrTicker,2025-06-10T15:38:19.293+07:00,FDUSDUSDT,2.00E-04,0.02,0.99852104,0.9981,0.9983,257,0.9983,1.44E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:18.776+07:00,2025-06-10T15:38:18.776+07:00,292291593,292496175,204583
24hrTicker,2025-06-10T15:38:20.294+07:00,FDUSDUSDT,3.00E-04,0.03,0.99852104,0.9981,0.9984,51,0.9983,1.44E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:19.697+07:00,2025-06-10T15:38:19.697+07:00,292291602,292496176,204575
24hrTicker,2025-06-10T15:38:21.294+07:00,FDUSDUSDT,2.00E-04,0.02,0.99852104,0.9981,0.9983,77,0.9983,1.44E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:21.205+07:00,2025-06-10T15:38:21.205+07:00,292291603,292496178,204576
24hrTicker,2025-06-10T15:38:23.294+07:00,FDUSDUSDT,2.00E-04,0.02,0.99852104,0.9981,0.9983,77,0.9983,1.42E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:23.161+07:00,2025-06-10T15:38:23.161+07:00,292291604,292496178,204575
24hrTicker,2025-06-10T15:38:26.293+07:00,FDUSDUSDT,3.00E-04,0.03,0.99852105,0.998,0.9983,77,0.9983,1.43E+07,0.9984,1.10E+07,0.998,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:26.077+07:00,2025-06-10T15:38:26.077+07:00,292291613,292496178,204566
24hrTicker,2025-06-10T15:38:27.293+07:00,FDUSDUSDT,4.00E-04,0.04,0.99852105,0.998,0.9984,46,0.9983,1.43E+07,0.9984,1.10E+07,0.998,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:26.643+07:00,2025-06-10T15:38:26.643+07:00,292291613,292496181,204569
24hrTicker,2025-06-10T15:38:28.294+07:00,FDUSDUSDT,3.00E-04,0.03,0.99852106,0.998,0.9984,46,0.9983,1.43E+07,0.9984,1.10E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:28.073+07:00,2025-06-10T15:38:28.073+07:00,292291614,292496181,204568
24hrTicker,2025-06-10T15:38:29.293+07:00,FDUSDUSDT,2.00E-04,0.02,0.998521,0.998,0.9983,18,0.9983,1.43E+07,0.9984,1.07E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:29.171+07:00,2025-06-10T15:38:29.171+07:00,292291614,292496186,204573
